Person,gFx,gFy,gFz,TgF,Label
1,0.1475,-0.0127,0.9894,1,6
1,0.1465,-0.0113,0.986,1,6
1,0.1416,-0.0063,0.9883,1,6
1,0.1416,-0.0063,0.9883,1,6
1,0.1431,-0.0073,0.9918,1,6
1,0.1514,-0.0088,0.9904,1,6
1,0.1563,-0.0054,0.9855,1,6
1,0.1489,-0.0068,0.9918,1,6
1,0.1382,-0.0102,0.9918,1,6
1,0.1392,-0.0083,0.9879,1,6
1,0.1441,-0.0039,0.9849,1,6
1,0.1485,-0.004,0.9855,1,6
1,0.1475,-0.0064,0.9864,1,6
1,0.1421,-0.0029,0.9893,1,6
1,0.1412,-0.0005,0.9897,1,6
1,0.1377,-0.0029,0.9932,1,6
1,0.1406,-0.0054,0.9893,1,6
1,0.1456,-0.0054,0.9869,1,6
1,0.1445,-0.0059,0.9883,1,6
1,0.1422,-0.0039,0.9893,1,6
1,0.1421,-0.0054,0.9888,1,6
1,0.1436,-0.0054,0.9874,1,6
1,0.145,-0.0078,0.986,1,6
1,0.1456,-0.0074,0.985,1,6
1,0.1436,-0.0039,0.9869,1,6
1,0.1397,-0.0048,0.9946,1,6
1,0.1367,-0.0063,0.9937,1,6
1,0.1412,-0.002,0.9858,1,6
1,0.1402,-0.0024,0.9878,1,6
1,0.1509,-0.0029,0.9923,1,6
1,0.1553,-0.0059,0.9904,1,6
1,0.1446,-0.0064,0.9756,0.99,6
1,0.1329,-0.0034,0.9868,1,6
1,0.1285,-0.0009,0.9911,1,6
1,0.1314,-0.0014,0.9916,1,6
1,0.1412,0,0.9897,1,6
1,0.147,-0.0049,0.9889,1,6
1,0.1392,-0.0073,0.9893,1,6
1,0.1392,-0.0073,0.9893,1,6
1,0.1377,-0.0063,0.9902,1,6
1,0.1329,-0.0054,0.9868,1,6
1,0.1324,-0.0054,0.9843,0.99,6
1,0.1451,0,0.9854,1,6
1,0.1485,-0.0015,0.9859,1,6
1,0.148,-0.0015,0.98,0.99,6
1,0.1367,-0.0048,0.9971,1.01,6
1,0.1299,-0.0058,0.9931,1,6
1,0.1363,-0.0015,0.9858,1,6
1,0.1383,0.0005,0.9849,0.99,6
1,0.1431,-0.001,0.9907,1,6
1,0.1392,-0.0043,0.9951,1,6
1,0.1353,-0.0038,0.9946,1,6
1,0.1333,-0.0034,0.9911,1,6
1,0.1333,-0.0034,0.9911,1,6
1,0.1383,-0.0049,0.9849,0.99,6
1,0.1407,-0.0029,0.9839,0.99,6
1,0.1402,-0.0034,0.9844,0.99,6
1,0.1392,-0.0053,0.9922,1,6
1,0.1382,-0.0049,0.9897,1,6
1,0.1363,-0.0015,0.9892,1,6
1,0.1353,-0.0034,0.9907,1,6
1,0.1406,-0.0044,0.9897,1,6
1,0.1402,-0.0034,0.9917,1,6
1,0.1397,-0.0034,0.9907,1,6
1,0.1372,-0.0073,0.9922,1,6
1,0.13,-0.0058,0.9872,1,6
1,0.1494,-0.0053,0.9982,1.01,6
1,0.1494,-0.0053,0.9982,1.01,6
1,0.1582,-0.0068,0.9968,1.01,6
1,0.1554,-0.0079,0.9787,0.99,6
1,0.1344,-0.0063,0.9863,1,6
1,0.1309,-0.0053,0.9931,1,6
1,0.1378,-0.001,0.9873,1,6
1,0.149,-0.0001,0.9849,1,6
1,0.1539,0.0004,0.9879,1,6
1,0.1514,-0.0068,0.9899,1,6
1,0.1436,-0.0059,0.9888,1,6
1,0.1431,-0.0015,0.9839,0.99,6
1,0.1436,-0.0025,0.9835,0.99,6
1,0.1407,-0.0015,0.9814,0.99,6
1,0.1436,-0.0044,0.9898,1,6
1,0.1573,-0.0059,0.9836,1,6
1,0.1504,-0.0083,0.9957,1.01,6
1,0.1489,-0.0082,0.9972,1.01,6
1,0.1445,-0.0087,0.9948,1.01,6
1,0.1441,-0.0068,0.9908,1,6
1,0.1475,-0.0025,0.9839,0.99,6
1,0.1558,-0.0054,0.9855,1,6
1,0.1563,-0.0049,0.9831,1,6
1,0.1534,-0.0049,0.9855,1,6
1,0.1524,-0.003,0.985,1,6
1,0.1533,-0.0044,0.9904,1,6
1,0.1558,-0.0035,0.9885,1,6
1,0.1549,-0.0035,0.986,1,6
1,0.1534,-0.003,0.986,1,6
1,0.1524,-0.002,0.9855,1,6
1,0.1568,-0.0025,0.9831,1,6
1,0.1577,-0.0074,0.9846,1,6
1,0.1572,-0.0084,0.9861,1,6
1,0.1587,-0.0089,0.9875,1,6
1,0.1587,-0.0025,0.9875,1,6
1,0.1548,-0.0063,0.9904,1,6
1,0.1495,-0.0079,0.9762,0.99,6
1,0.1505,-0.0055,0.9733,0.98,6
1,0.1602,-0.0025,0.987,1,6
1,0.165,-0.0054,1.0002,1.01,6
1,0.1704,-0.0099,0.9833,1,6
1,0.1612,-0.0065,0.9744,0.99,6
1,0.149,-0.0035,0.9796,0.99,6
1,0.1451,-0.001,0.9835,0.99,6
1,0.1514,-0.0005,0.983,0.99,6
1,0.1636,-0.0054,0.9919,1.01,6
1,0.1626,-0.0059,0.9919,1.01,6
1,0.1577,-0.0093,0.9944,1.01,6
1,0.1558,-0.0069,0.989,1,6
1,0.1583,-0.0065,0.9802,0.99,6
1,0.1529,-0.0035,0.9821,0.99,6
1,0.1534,-0.003,0.9825,0.99,6
1,0.1602,-0.0049,0.988,1,6
1,0.1651,-0.0045,0.9836,1,6
1,0.1621,-0.004,0.9861,1,6
1,0.1513,-0.0078,0.9987,1.01,6
1,0.1489,-0.0083,0.9918,1,6
1,0.1519,-0.0049,0.985,1,6
1,0.1558,-0.0011,0.9796,0.99,6
1,0.1622,-0.0055,0.9836,1,6
1,0.1543,-0.0034,0.9909,1,6
1,0.1533,-0.002,0.9938,1.01,6
1,0.1533,-0.0034,0.9899,1,6
1,0.1568,-0.0054,0.9865,1,6
1,0.1568,-0.0045,0.986,1,6
1,0.1568,-0.0054,0.9865,1,6
1,0.1568,-0.0064,0.9836,1,6
1,0.1578,-0.0059,0.9836,1,6
1,0.1573,-0.0045,0.985,1,6
1,0.1538,-0.0064,0.989,1,6
1,0.1587,-0.0093,0.9895,1,6
1,0.1592,-0.0054,0.9866,1,6
1,0.1554,-0.004,0.986,1,6
1,0.1528,-0.0089,0.9865,1,6
1,0.1529,-0.0045,0.9791,0.99,6
1,0.1588,0.0043,0.9816,0.99,6
1,0.1626,0.0009,0.9904,1,6
1,0.1655,-0.0073,1.0003,1.01,6
1,0.1685,-0.0099,0.9803,0.99,6
1,0.1573,-0.004,0.9787,0.99,6
1,0.146,-0.0039,0.9888,1,6
1,0.148,-0.0044,0.9869,1,6
1,0.1583,-0.004,0.9831,1,6
